year,month,kWh,Euro,kWh_kWp
2008,July,1191,557,127
2008,August,1075,503,115
2008,September,771,360,82
2008,October,476,223,51
2008,November,292,137,31
2008,December,152,71,16
2009,January,217,102,23
2009,February,391,183,42
2009,March,632,295,68
2009,April,1045,488,112
2009,May,1059,495,113
2009,June,1168,546,125
2009,July,1054,493,113
2009,August,1239,579,132
2009,September,868,406,93
2009,October,665,311,71
2009,November,257,120,27
2009,December,150,70,16
2010,January,124,58,13
2010,February,329,154,35
2010,March,753,352,80
2010,April,1104,516,118
2010,May,857,401,92
2010,June,1111,519,119
2010,July,1199,561,128
2010,August,988,462,106
2010,September,977,457,104
2010,October,610,285,65
2010,November,212,99,23
2010,December,65,30,7
2011,January,272,127,29
2011,February,426,199,46
2011,March,1046,489,112
2011,April,1298,607,139
2011,May,1254,586,134
2011,June,1145,535,122
2011,July,1065,498,114
2011,August,1221,571,131
2011,September,860,402,92
2011,October,572,267,61
2011,November,225,105,24
2011,December,149,70,16
2012,January,245,114,26
2012,February,384,179,41
2012,March,1075,502,115
2012,April,837,391,90
2012,May,1211,566,129
2012,June,1038,485,111
2012,July,1112,520,119
2012,August,1334,624,143
2012,September,925,433,99
2012,October,449,210,48
2012,November,187,87,20
2012,December,131,61,14
2013,January,190,89,20
2013,February,243,114,26
2013,March,587,274,63
2013,April,719,336,77
2013,May,1017,475,109
2013,June,1168,546,125
2013,July,1219,570,130
2013,August,1266,592,135
2013,September,812,380,87
2013,October,481,225,51
2013,November,277,129,30
2013,December,212,99,23
2014,January,268,125,29
2014,February,420,196,45
2014,March,1053,492,113
2014,April,859,402,92
2014,May,1172,548,125
2014,June,1471,688,157
2014,July,1008,471,108
2014,August,862,403,92
2014,September,802,375,86
2014,October,543,254,58
2014,November,266,124,28
2014,December,153,71,16
2015,January,150,70,16
2015,February,320,150,34
2015,March,1038,485,111
2015,April,1143,535,122
2015,May,993,464,106
2015,June,1069,500,114
2015,July,1228,574,131
2015,August,1234,577,132
2015,September,960,449,103
2015,October,452,211,48
2015,November,394,184,42
2015,December,223,104,24
2016,January,163,76,17
2016,February,327,153,35
2016,March,761,356,81
2016,April,949,444,101
2016,May,945,442,101
2016,June,1003,469,107
2016,July,1090,510,117
2016,August,1087,508,116
2016,September,867,405,93
2016,October,560,262,60
2016,November,237,111,25
2016,December,220,103,24
2017,January,175,82,19
2017,February,380,178,41
2017,March,913,427,98
2017,April,1012,473,108
2017,May,1208,565,129
2017,June,1344,628,144
2017,July,1186,555,127
2017,August,1105,517,118
2017,September,926,433,99
2017,October,747,349,80
